Name,Company,Address,Postal,City,State,Country,Latitude,Longitude,HUC12,HUC12_Name
Centersquare - Dallas DFW2-A,Csquare,900 Guardians Way,75013,Dallas,Texas,USA,33.094894,-96.68325999999999,120301060404,Headwaters Rowlett Creek
VAZATA Dallas I,VAZATA,4025 Midway Road,75007,Carrollton,Texas,USA,33.0216679,-96.844884,120301031003,Indian Creek-Elm Fork Trinity River
DataBank DFW5 - Dallas Infomart,DataBank,1950 Stemmons Fwy,75207,Dallas,Texas,USA,32.8008903,-96.819549,120301050101,Turtle Creek
GDC - Dallas TX2 Data Center,"NTT DATA, Inc.",2108 Lookout Drive,75044,Garland,Texas,USA,32.9809133,-96.6579647,120301060407,Pittman Creek-Spring Creek
GDC - Dallas TX4 Data Center,"NTT DATA, Inc.",2011 Lookout Drive,75044,Garland,Texas,USA,32.9792949,-96.65827,120301060407,Pittman Creek-Spring Creek
VAZATA McKinney,VAZATA,1720 Bray Central Dr,75069,McKinney,Texas,USA,33.2234718596891,-96.62861982204292,120301060205,Clemons Creek-East Fork Trinity River
Equinix DA3,Equinix,1950 North Stemmons Freeway,75207,Dallas,Texas,USA,32.800748,-96.819412,120301050101,Turtle Creek
Aligned DFW-01,Aligned Data Centers,2800 Summit Avenue,75074,Plano,Texas,USA,33.00925386771512,-96.67645229118939,120301060406,Brown Branch-Rowlett Creek
Edged Dallas-Fort Worth DFW01-1,Edged Energy,505 N Wildwood Dr,75061,Irving,Texas,USA,32.8176612647803,-96.91798622983698,120301031007,Bachman Branch-Elm Fork Trinity River
Serverphase Data Center,M&A Technology Inc.,2045 Chenault Drive,75006,Carrollton,Texas,USA,32.964129,-96.8456337,120301031004,Grapevine Creek-Elm Fork Trinity River
DataBank DFW6 - Dallas Love Field,DataBank,8600 Harry Hines Blvd,75235,Dallas,Texas,USA,32.8381869,-96.865387,120301050101,Turtle Creek
DataBank DFW7 - Dallas LBJ,DataBank,6606 Lyndon B Johnson Fwy,75240,Dallas,Texas,USA,32.9227996,-96.791397,120301050104,Floyd Branch-White Rock Creek
DataBank DFW3 - Plano,DataBank,8375 Dominion Pkwy,75024,Plano,Texas,USA,33.0877012,-96.815196,120301030906,Stewart Creek-Lake Lewisville
Resilience DFW,Overwatch Capital,6815 Communications Pkwy,75024,Plano,Texas,USA,33.06900460000001,-96.8335535,120301031003,Indian Creek-Elm Fork Trinity River
365 Data Centers - Richardson,365 Data Centers,1001 East Campbell Road,75081,Richardson,Texas,USA,32.975391,-96.707766,120301060501,Duck Creek
ScaleMatrix Dallas,ScaleMatrix,820 Allen Commerce Pkwy,75013,Allen,Texas,USA,33.138618,-96.657387,120301060207,Lower Wilson Creek
Evocative DAL1,Evocative Data Centers,2800 Summit Ave,75074,Plano,Texas,USA,33.0092949,-96.6764342,120301060406,Brown Branch-Rowlett Creek
Provision Data Services,Provision Data Services,2020 Live Oak,75201,Dallas,Texas,USA,32.784034,-96.794691,120301050101,Turtle Creek
Rackspace Dallas 2,Rackspace Hosting,1215 Integrity Drive,75081,Richardson,Texas,USA,32.9648228,-96.715786,120301060501,Duck Creek
24 Hour Data Plano,24 Hour Data,811 E Plano Pkwy,75074,Plano,Texas,USA,33.0079997,-96.7020342,120301060407,Pittman Creek-Spring Creek
Equinix DA7,Equinix,6653 Pinecrest Dr,75024,Plano,Texas,USA,33.06485,-96.81098,120301050103,Headwaters White Rock Creek
GDC - Dallas TX3 Data Center,"NTT DATA, Inc.",2080 Lookout Drive,75044,Garland,Texas,USA,32.9810729,-96.6593753,120301060407,Pittman Creek-Spring Creek
Stream DC DFW VII - Garland,Stream Data Centers,1813 Lookout Drive,75044,Garland,Texas,USA,33.0831241,-96.8089721,120301050103,Headwaters White Rock Creek
STACK Infrastructure DFW02 Campus,STACK INFRASTRUCTURE,E Belt Line Road,75146,Lancaster,Texas,USA,32.582147,-96.733688,120301050202,Deep Branch-Tenmile Creek
Infomart Dallas,Equinix,1950 N. Stemmons Freeway,75207,Dallas,Texas,USA,32.80088131794157,-96.81948172023762,120301050101,Turtle Creek
Stream DC DFWC - Wilmer II Campus,Stream Data Centers,"930 Sunrise Rd, Lancaster, TX , USA",75146,Wilmer,Texas,USA,32.58986889253216,-96.70863027066136,120301050203,Prairie Creek-Trinity River
STACK Infrastructure DFW01A,STACK INFRASTRUCTURE,6653 Pinecrest Dr,75024,Plano,Texas,USA,33.064897,-96.8113048,120301050103,Headwaters White Rock Creek
STACK Infrastructure DFW01B,STACK INFRASTRUCTURE,6715 Pinecrest Dr,75024,Plano,Texas,USA,33.0666714,-96.8113678,120301050103,Headwaters White Rock Creek
CoreWeave Plano,CoreWeave,1000 Coit Rd,75075,Plano,Texas,USA,33.0137124,-96.7656859,120301060407,Pittman Creek-Spring Creek
DigiCo Dallas DAL1,DigiCo Infrastructure REIT,1402 E Lookout Dr,75082,Richardson,Texas,USA,32.9841609,-96.6982857,120301060407,Pittman Creek-Spring Creek
Stream DC DFWC1,Stream Data Centers,930 N Sunrise Rd,75172,Wilmer,Texas,USA,32.58994828763647,-96.7075212427053,120301050203,Prairie Creek-Trinity River
DataBank DFW4 - Dallas Empire,DataBank,1100 Empire Central Place,75247,Dallas,Texas,USA,32.82179,-96.87368,120301050101,Turtle Creek
Cogent Data Center - Irving,"Cogent Communications, Inc.",2511 E Grauwyler Rd,75061,Irving,Texas,USA,32.8314235,-96.90691079999999,120301031007,Bachman Branch-Elm Fork Trinity River
QTS Irving Campus,QTS Data Centers,6431 Longhorn Drive,75063,Irving,Texas,USA,32.8970897,-96.98299329999999,120301031006,Cottonwood Branch-Hackberry Creek
ColoHouse Dallas,ColoHouse,1649 West Frankford Road,75007,Dallas,Texas,USA,32.9918474,-96.9300035,120301031003,Indian Creek-Elm Fork Trinity River
ColoCrossing DFW1,ColoCrossing,3004 Irving Blvd,75247,Dallas,Texas,USA,32.8079815,-96.8573625,120301050101,Turtle Creek
Neutron Data Center,M&A Technology Inc.,13616 Neutron Road,75244,Dallas,Texas,USA,32.9338507,-96.8345112,120301031005,Farmers Branch-Elm Fork Trinity River
Equinix DA4,Equinix,2323 Bryan St,75201,Dallas,Texas,USA,32.7872315,-96.794157,120301050101,Turtle Creek
Epic.io Dallas Data Center,Epic.io,1526 Viceroy Dr,75235,Dallas,Texas,USA,32.8339448,-96.8699043,120301050101,Turtle Creek
Cogent Data Center - Fort Worth,"Cogent Communications, Inc.",1400 E Presidio St,76102,Fort Worth,Texas,USA,32.7444147,-97.3143033,120301020501,Marine Creek-West Fork Trinity River
GIPNetworks Plano,Plano Data Center | Global IP Networks,1009 Jupiter Rd,75074,Plano,Texas,USA,33.0122573,-96.68313,120301060406,Brown Branch-Rowlett Creek
5CDC Dallas-Fort Worth - DFW01,5C Group Inc.,1201 John Burgess Dr,76140,Fort Worth,Texas,USA,32.6361796,-97.3086258,120301020403,Village Creek-Lake Arlington
Enterhost Data Center,Consuro Managed Technology,801 Cherry Street,76102,Fort Worth,Texas,USA,32.7506332,-97.3345469,120301020307,Lake Como-Clear Fork Trinity River
VAZATA Dallas II,VAZATA,2440 Marsh Lane,75007,Carrollton,Texas,USA,32.980144,-96.8534425,120301031004,Grapevine Creek-Elm Fork Trinity River
STACK Infrastructure DFW02C,STACK INFRASTRUCTURE,E Belt Line Road,75146,Lancaster,Texas,USA,32.582147,-96.733688,120301050202,Deep Branch-Tenmile Creek
STACK Infrastructure DFW02F,STACK INFRASTRUCTURE,E Belt Line Road,75146,Lancaster,Texas,USA,32.58494887999717,-96.73123538798204,120301050202,Deep Branch-Tenmile Creek
STACK Infrastructure DFW02D,STACK INFRASTRUCTURE,E Belt Line Road,75146,Lancaster,Texas,USA,32.582147,-96.733688,120301050202,Deep Branch-Tenmile Creek
STACK Infrastructure DFW02A,STACK INFRASTRUCTURE,E Belt Line Road,75146,Lancaster,Texas,USA,32.582147,-96.733688,120301050202,Deep Branch-Tenmile Creek
STACK Infrastructure DFW02B,STACK INFRASTRUCTURE,E Belt Line Road,75146,Lancaster,Texas,USA,32.582147,-96.733688,120301050202,Deep Branch-Tenmile Creek
STACK Infrastructure DFW02E,STACK INFRASTRUCTURE,E Belt Line Road,75146,Lancaster,Texas,USA,32.582147,-96.733688,120301050202,Deep Branch-Tenmile Creek
Equinix DA9,Equinix,2222 East Grauwyler Road,75061,Irving,Texas,USA,32.83018080944302,-96.91276388701245,120301031007,Bachman Branch-Elm Fork Trinity River
DataBank DFW10 - Red Oak,DataBank,Batchler Rd & Stainback Rd,75154,Red Oak,Texas,USA,32.53822982372741,-96.73334154538071,120301050305,Middle Red Oak Creek
Vantage Frontier - Shackelford County,Vantage Data Centers,TX-351 & Farm to Market Road 604,79601,Abilene,Texas,USA,32.5520428,-99.56523960000001,120601020802,West Fork Spring Creek-Spring Creek
DataBank DFW9 - Red Oak,DataBank,Batchler Rd & Stainback Rd,75154,Red Oak,Texas,USA,32.53647172056652,-96.73179787026952,120301050305,Middle Red Oak Creek
STACK Infrastructure DFW01C,STACK INFRASTRUCTURE,5601 W Spring Creek Pkwy,75024,Plano,Texas,USA,33.06607935256016,-96.81352566900742,120301050103,Headwaters White Rock Creek
