Name,Company,Address,Postal,City,State,Country
Cogent Data Center - Palm Springs,"Cogent Communications, Inc.",3601 N Indian Canyon Dr,92262,Palm Springs,California,USA
Acorn Technology Services Data Center,Acorn Technology Services,1960 Chicago Ave,92507,Riverside,California,USA
Lumen Riverside 1,Lumen,1550 Malborough Avenue,92507,Riverside,California,USA
GDC - Sacramento CA2 Data Center,"NTT DATA, Inc.",1312 Striker Avenue,95834,Sacramento,California,USA
GDC - Sacramento CA1 Data Center,"NTT DATA, Inc.",1200 Striker Avenue,95834,Sacramento,California,USA
GDC - Sacramento CA3 Data Center,"NTT DATA, Inc.",1625 West National Drive,95834,Sacramento,California,USA
Prime Sacramento Data Center Campus,Prime Data Centers,2407 AK Street,95652,McClellan Park,California,USA
Quest Roseville HABC,Quest Technology Management,9000 Foothills Blvd,95765,Roseville,California,USA
Quest McClellan BRC,Quest Technology Management,4235 Forcum Ave,95652,McClellan Park,California,USA
Prime Sacramento - Data Center 1,Prime Data Centers,2407 AK Street,95652,McClellan Park,California,USA
Conscious Data Centers,Conscious Capital Data Center,3141 Data Dr,95670,Rancho Cordova,California,USA
EdgeConneX Sacramento - EDCSAC01,EdgeConneX,10980 Gold Center Dr,95670,Rancho Cordova,California,USA
Prime Sacramento - Data Center 2,Prime Data Centers,2408 AK Street,95652,McClellan Park,California,USA
Datacate Rancho Cordova,Datacate Inc.,2999 Gold Canal Dr.,95670,Rancho Cordova,California,USA
365 Data Centers - Rancho Cordova,365 Data Centers,11085 Sun Center Dr,95670,Rancho Cordova,California,USA
Prime Data Centers,GroupOne,2407 AK St,95652,McClellan,California,USA
QTS Sacramento,QTS Data Centers,1100 North Market Blvd,95834,Sacramento,California,USA
Cogent Data Center - Oroville,"Cogent Communications, Inc.",2405 Bird St,95965,Oroville,California,USA
Consolidated McClellan,Consolidated Communications,5115 Arnold Blvd,95652,McClellan,California,USA
Consolidated Citrus Heights,Consolidated Communications,7656 Old Auburn Blvd,95610,Citrus Heights,California,USA
iStreet Solutions,"iStreet Solutions, LLC",1075 Triangle Ct,95605,Broderick,California,USA
Lumen Sacramento 1,Lumen,1075 Triangle Court,95691,West Sacramento,California,USA
DataNOC Data Center,DataNOC.com,10321 Placer Lane,95827,Sacramento,California,USA
TPx Sacramento Data Center,TPx Communications,1099 15th St,95814,Sacramento,California,USA
Lumen Sacramento 2,Lumen,1005 North B Street,95814,Sacramento,California,USA
Cogent Data Center - Livermore,"Cogent Communications, Inc.",8851 Manning Rd,94551,Livermore,California,USA
STACK Infrastructure SVY03A,STACK INFRASTRUCTURE,26203 Production Ave,94545,Hayward,California,USA
Lumen Hayward 1,Lumen,23965 Connecticut St,94545,Hayward,California,USA
AT&T Hayward,AT&T,221 W Winton Ave,94544,Hayward,California,USA
Modesto City Tower,"Ayera Technologies, Inc.",801 Tenth Street,95354,Modesto,California,USA
Lumen Modesto,Lumen,1224 13th Street,95354,Modesto,California,USA
NYGC Bakersfield,NewYork GreenCloud,Mt Poso Conservation Plant Rd,93308,Bakersfield,California,USA
Lumen Bakersfield 2,Lumen,1430 Truxtun Ave,93301,Bakersfield,California,USA
Lumen Bakerfield 1,Lumen,2020 P. Street,93311,Bakersfield,California,USA
Impulse Santa Barbara,Impulse Advanced Communications,104 W Anapamu St,93101,Santa Barbara,California,USA
Lumen Santa Barbara,Lumen,122 Helena Ave,92101,Santa Barbara,California,USA
Lumen San Bernardino,Lumen,5705 Industrial Parkway,92407,San Bernardino,California,USA
EdgeConneX Arcata - EDCACV01,EdgeConneX,1296 11th St,95521,Arcata,California,USA
NYGC Buena Vista,NewYork GreenCloud,4655 Coal Mine Rd,95640,Buena Vista,California,USA
